,SKU,code,brands,quantity,status,user_ID,frequency_in_weeks,starts,next_delivery,last_edit,creation_date
152,PugFX6114,131,Purina - Felix,2,paused,176,6,2022-07-27,2023-05-17,2022-07-19,2022-06-16
153,no_SKU,131,,2,paused,176,6,2022-07-27,2023-05-17,2022-07-19,2022-06-16
154,no_SKU,131,,2,paused,176,6,2022-07-27,2023-05-17,2022-07-19,2022-06-16
155,no_SKU,132,,1,paused,423,12,2022-06-15,2023-05-17,2022-09-05,2022-06-16
156,BrpBV11612,133,Bravecto,1,active,82,12,2023-05-15,2023-05-15,2023-02-20,2022-06-16
157,TapTW2116,134,Taste of the Wild,1,paused,418,8,2022-06-16,2023-05-18,2022-08-10,2022-06-17
158,DipDN1177,136,Diamond Naturals - Diamond,1,paused,198,5,2022-06-17,2023-06-02,2022-07-15,2022-06-17
159,NupNS1287,137,NutriSource,1,active,759,4,2023-04-25,2023-05-23,2023-04-24,2022-06-18
160,NugNS2306,138,NutriSource,2,active,760,4,2023-07-16,2023-07-16,2023-01-30,2022-06-19
161,PrpPN2834,139,Pronature,1,active,772,4,2023-05-05,2023-06-02,2023-05-04,2022-06-20
162,1spFC1796,140,1st Choice,1,paused,775,5,2022-06-21,2023-06-06,2022-07-17,2022-06-21
163,no_SKU,141,,1,paused,439,4,2022-06-21,2023-05-23,2022-07-29,2022-06-21
164,1spFC3798,142,1st Choice,1,paused,775,4,2022-06-27,2023-05-29,2022-07-17,2022-06-27
165,WapWD51885,142,Waldo,1,paused,775,4,2022-06-27,2023-05-29,2022-07-17,2022-06-27
166,WapWD51887,142,Waldo,1,paused,775,4,2022-06-27,2023-05-29,2022-07-17,2022-06-27
167,ScpSD21519,143,Hills Science Diet - Hills,1,paused,804,6,2022-11-07,2023-06-05,2023-04-19,2022-06-28
168,ScgSD31494,144,Hills Prescription Diet - Hills,1,paused,763,4,2022-12-17,2023-06-03,2023-01-12,2022-06-28
169,NapNPA2111,145,Natural Pets,3,active,808,2,2023-04-28,2023-05-12,2023-04-18,2022-06-28
170,NapNPA2112,145,Natural Pets,2,active,808,2,2023-04-28,2023-05-12,2023-04-18,2022-06-28
171,PepPA2564,146,Tobi,10,paused,394,7,2023-08-18,2023-08-18,2023-04-10,2022-06-29
172,TapTW1120,147,Taste of the Wild,1,active,425,4,2023-04-19,2023-05-17,2023-04-12,2022-06-29
173,VipVB2021,147,Virbac,2,active,425,4,2023-04-19,2023-05-17,2023-04-12,2022-06-29
174,Brp2238,147,Brouwer,1,active,425,4,2023-04-19,2023-05-17,2023-04-12,2022-06-29
175,BrdBL3030,147,Brilliant,1,active,425,4,2023-04-19,2023-05-17,2023-04-12,2022-06-29
176,TapTW1124,148,Taste of the Wild - Taste Of The Wild Ancient Grains,1,active,815,12,2023-06-12,2023-06-12,2023-04-14,2022-06-29
177,ScpSD11490,149,Hills Prescription Diet - Hills,1,active,193,3,2023-03-15,2023-05-17,2023-03-14,2022-06-29
178,ScpSD31454,149,Hills Prescription Diet,1,active,193,3,2023-03-15,2023-05-17,2023-03-14,2022-06-29
179,RopRC31386,149,Royal Canin,1,active,193,3,2023-03-15,2023-05-17,2023-03-14,2022-06-29
180,NupNS3274,150,NutriSource,1,active,819,3,2023-04-03,2023-05-15,2023-03-13,2022-06-30
181,BapBA1355,151,Balance,1,active,818,4,2023-05-18,2023-05-18,2023-04-12,2022-06-30
182,ScpSD11480,153,Hills Prescription Diet - Hills,1,active,650,12,2023-03-03,2023-05-26,2023-03-03,2022-07-02
183,MPpMP11713,153,M Pets,2,active,650,12,2023-03-03,2023-05-26,2023-03-03,2022-07-02
184,1spCH2636,154,1st Choice,1,active,758,2,2023-05-05,2023-05-19,2023-05-02,2022-07-03
185,DigDN3197,155,Diamond Naturals - Diamond,1,paused,176,5,2022-07-04,2023-05-15,2022-07-19,2022-07-03
186,no_SKU,155,,1,paused,176,5,2022-07-04,2023-05-15,2022-07-19,2022-07-03
187,VigVC3190,155,Virbac,1,paused,176,5,2022-07-04,2023-05-15,2022-07-19,2022-07-03
188,BapBA1352,156,Balance,1,active,842,12,2023-04-03,2023-06-26,2023-04-01,2022-07-04
189,VipVC31328,159,Virbac,2,paused,621,4,2022-07-08,2023-05-12,2022-08-06,2022-07-08
190,1spFC1803,160,1st Choice,1,active,532,4,2023-04-13,2023-05-11,2023-03-28,2022-07-10
191,NapNPA2113,162,Natural Pets,1,paused,869,4,2022-12-14,2023-05-31,2022-12-13,2022-07-11
192,NapNPA2106,162,Natural Pets,1,paused,869,4,2022-12-14,2023-05-31,2022-12-13,2022-07-11
193,NapNPA2112,162,Natural Pets,1,paused,869,4,2022-12-14,2023-05-31,2022-12-13,2022-07-11
194,NapNPA2110,162,Natural Pets,1,paused,869,4,2022-12-14,2023-05-31,2022-12-13,2022-07-11
195,PupCH344,163,Purina - Dog Chow,1,paused,110,12,2023-01-08,2023-06-25,2022-10-23,2022-07-11
196,NupNS5333,164,NutriSource,1,paused,906,5,2022-09-10,2023-05-13,2022-09-09,2022-07-12
197,NupNS5334,164,NutriSource,1,paused,906,5,2022-09-10,2023-05-13,2022-09-09,2022-07-12
198,NupNS5335,164,NutriSource,1,paused,906,5,2022-09-10,2023-05-13,2022-09-09,2022-07-12
199,NupNS5336,164,NutriSource,1,paused,906,5,2022-09-10,2023-05-13,2022-09-09,2022-07-12
200,1sgFC2774,165,1st Choice,1,paused,492,12,2022-07-11,2023-06-12,2022-07-30,2022-07-11
201,BapBA1388,166,Balance,1,active,848,10,2023-03-20,2023-05-29,2023-03-05,2022-07-13
202,NupNS2284,168,NutriSource,1,active,641,12,2023-05-05,2023-07-28,2023-04-13,2022-07-14
203,NupNS2273,168,NutriSource,1,active,641,12,2023-05-05,2023-07-28,2023-04-13,2022-07-14
204,ScpSD31439,169,Hills Prescription Diet - Hills,1,active,803,8,2023-05-15,2023-05-15,2023-03-20,2022-07-15
205,NupNS1277,169,NutriSource,1,active,803,8,2023-05-15,2023-05-15,2023-03-20,2022-07-15
206,BapBA1352,170,Balance,1,paused,462,2,2022-07-29,2023-05-19,2022-07-28,2022-07-15
207,NapNPA2115,172,Natural Pets,2,active,928,2,2023-05-12,2023-05-12,2023-04-25,2022-07-18
208,NapNPA2109,172,Natural Pets,2,active,928,2,2023-05-12,2023-05-12,2023-04-25,2022-07-18
209,NapNPA2110,172,Natural Pets,2,active,928,2,2023-05-12,2023-05-12,2023-04-25,2022-07-18
210,OlpOPA1814,173,Old Prince,1,active,82,3,2023-04-25,2023-05-16,2023-04-04,2022-07-21
211,DipDN1166,175,Diamond Naturals - Diamond,1,active,988,8,2023-03-25,2023-05-20,2023-03-25,2022-07-28
212,PhpPZA1994,176,Philozoo,1,paused,989,12,2022-07-28,2023-06-29,2022-07-29,2022-07-28
213,PupCH467,177,Purina - Dog Chow,1,active,872,4,2023-05-04,2023-06-01,2023-05-04,2022-07-28
