Proveedor,Pets,Categoría,Marca,SKU,Nombre de producto,DIC,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC.1,ENE.1,FEB.1,MAR.1,TOTAL GENERAL,Ventas Prom x Mes,Pronostico Abril,Ventas Abr,Promedio ultimos 3 meses,Time meses en inventario,TOTAL AS,AUTOSHIPS (ACTIVOS-15 DÍAS),AUTOSHIPS (ACTIVOS-30 DÍAS),SAFETY STOCK,STOCK Actual,STOCK- safety stock,Tipo de producto,Cantidades a Ordenar,inventario total
Nestle,gato,Alimento,Felix,PugFX6113,Alimento Húmedo Gatitos Carne - 85 g - Unidad,NA,3.0,5.0,0,0,0,0,0,5,0,2,2,0,6,0,8,31,3.2,4.0,11,6.333333333333333,0.4736842105263158,4,0,4,1.4,3.0,0.0,DB,NA,3.0
Repagro,perro,Alimento,MasQPets,MapQP3733,"Angus Strips - 80, g",1.0,NA,NA,1,1,0,1,0,2,5,2,4,2,4,4,6,33,4.0,5.0,4,4.666666666666667,1.0714285714285714,2,1,1,2.75,5.0,0.0,DB,NA,5.0
Nestle,gato,Alimento,Felix,PugFXW2204,"Alimento Húmedo Casserola De Atún - 85, g",0.0,0.0,0.0,0,0,0,0,0,0,1,10,1,0,3,2,0,17,1.2,1.5,5,2.3333333333333335,6.428571428571428,5,0,2,0.5249999999999999,15.0,0.0,DB,NA,15.0
Nestle,perro,Alimento,Dog Chow,PupCH689,"Alimento Húmedo Adultos Pollo - 100, g",0.0,0.0,0.0,0,0,2,0,0,8,0,7,12,10,1,12,32,84,13.4,16.75,15,19.666666666666668,1.11864406779661,5,5,0,10.8625,22.0,0.0,DA,NA,22.0
Full Pets,perro,Higiene,Tropiclean,TrTC11831,"Cepillo de Dientes (Dedales) - 2, Unidad",NA,NA,1.0,1,0,1,0,0,1,1,0,0,1,2,2,1,11,1.2,1.5,1,1.3333333333333333,1.5,0,0,0,0.5249999999999999,2.0,0.0,DC,NA,2.0
BELINA,perro,Alimento,NutriSource,NupNS1270,"Super Performance Chicken and Rice (Pollo y Arroz) - 18.1, kg",NA,NA,3.0,3,0,0,0,1,0,1,2,2,1,1,1,0,15,1.0,1.25,0,0.3333333333333333,3.0,0,0,0,0.4375,1.0,0.0,AC,0.0,1.0
BELINA,perro,Alimento,Balance,BapBA2350,"Adulto Cordero y Arroz - 9.07, kg",0.0,0.0,0.0,0,0,2,3,3,0,2,0,1,2,3,2,1,19,1.8,2.25,2,1.6666666666666667,3.0,0,0,0,0.7875,5.0,0.0,BB,0.0,5.0
VETIM SA,perro,Alimento,Prescription Diet,ScpSD11480,"w/d® Canine - 12.5, kg",0.0,0.0,0.0,0,1,1,0,2,2,3,3,4,6,3,1,4,30,3.6,4.5,4,3.0,2.3333333333333335,3,1,2,2.575,7.0,0.0,AB,NA,7.0
Repagro,perro,Alimento,MasQPets,MapQP3739,"Higado Cerdo Para Perro - 300, g",0.0,0.0,0.0,0,0,1,5,0,3,2,2,4,3,6,2,3,31,3.6,4.5,2,2.3333333333333335,2.571428571428571,0,0,0,1.575,6.0,0.0,CB,NA,6.0
Mundo Pet,perro,Alimento,Old Prince,OlpOPA1819,"Adulto Toda Razas Proteína Cerdo - 3, kg",0.0,0.0,0.0,0,0,0,0,0,5,5,5,19,3,0,0,0,37,4.4,5.5,2,0.6666666666666666,7.5,2,2,0,3.925,5.0,0.0,BA,NA,5.0
